// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Development\OzWorks\Oz\bin\Debug\netcoreapp3.1\ad3d6880-cd4e-4071-93ee-249f077d411f
// command took 2.58s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in D:\Development\OzWorks\Oz\bin\Debug\netcoreapp3.1\ad3d6880-cd4e-4071-93ee-249f077d411f
// command took 6.47s and exited with 0
// ***** Done, took 00:00:09 (9.23 sec)   *****
// Found 4 benchmarks:
//   QuickVsInsertBenchmark.QuickSortWithSameValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
//   QuickVsInsertBenchmark.InsertSortWithSameValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
//   QuickVsInsertBenchmark.QuickSortWithDifferentValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
//   QuickVsInsertBenchmark.InsertSortWithDifferentValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)

// **************************
// Benchmark: QuickVsInsertBenchmark.QuickSortWithSameValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ad3d6880-cd4e-4071-93ee-249f077d411f.dll" --benchmarkName "Oz.QuickVsInsertBenchmark.QuickSortWithSameValues" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in D:\Development\OzWorks\Oz\bin\Debug\netcoreapp3.1\ad3d6880-cd4e-4071-93ee-249f077d411f\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-VYTYSG(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 312900.00 ns, 312.9000 us/op
WorkloadJitting  1: 1 op, 926554400.00 ns, 926.5544 ms/op

OverheadWarmup   1: 1 op, 5500.00 ns, 5.5000 us/op
OverheadWarmup   2: 1 op, 600.00 ns, 600.0000 ns/op
OverheadWarmup   3: 1 op, 600.00 ns, 600.0000 ns/op
OverheadWarmup   4: 1 op, 1300.00 ns, 1.3000 us/op
OverheadWarmup   5: 1 op, 500.00 ns, 500.0000 ns/op
OverheadWarmup   6: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   7: 1 op, 500.00 ns, 500.0000 ns/op

OverheadActual   1: 1 op, 600.00 ns, 600.0000 ns/op
OverheadActual   2: 1 op, 600.00 ns, 600.0000 ns/op
OverheadActual   3: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual   4: 1 op, 600.00 ns, 600.0000 ns/op
OverheadActual   5: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual   6: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual   7: 1 op, 800.00 ns, 800.0000 ns/op
OverheadActual   8: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual   9: 1 op, 600.00 ns, 600.0000 ns/op
OverheadActual  10: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual  11: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  12: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual  13: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  14: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual  15: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual  16: 1 op, 300.00 ns, 300.0000 ns/op
OverheadActual  17: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual  18: 1 op, 800.00 ns, 800.0000 ns/op
OverheadActual  19: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual  20: 1 op, 300.00 ns, 300.0000 ns/op

WorkloadWarmup   1: 1 op, 887105800.00 ns, 887.1058 ms/op
WorkloadWarmup   2: 1 op, 885751900.00 ns, 885.7519 ms/op
WorkloadWarmup   3: 1 op, 879131100.00 ns, 879.1311 ms/op
WorkloadWarmup   4: 1 op, 884799800.00 ns, 884.7998 ms/op
WorkloadWarmup   5: 1 op, 882932600.00 ns, 882.9326 ms/op
WorkloadWarmup   6: 1 op, 896171400.00 ns, 896.1714 ms/op
WorkloadWarmup   7: 1 op, 888792900.00 ns, 888.7929 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 884452200.00 ns, 884.4522 ms/op
WorkloadActual   2: 1 op, 884279300.00 ns, 884.2793 ms/op
WorkloadActual   3: 1 op, 882231600.00 ns, 882.2316 ms/op
WorkloadActual   4: 1 op, 899914000.00 ns, 899.9140 ms/op
WorkloadActual   5: 1 op, 880383400.00 ns, 880.3834 ms/op
WorkloadActual   6: 1 op, 879012800.00 ns, 879.0128 ms/op
WorkloadActual   7: 1 op, 890946700.00 ns, 890.9467 ms/op
WorkloadActual   8: 1 op, 879276000.00 ns, 879.2760 ms/op
WorkloadActual   9: 1 op, 889022900.00 ns, 889.0229 ms/op
WorkloadActual  10: 1 op, 882601400.00 ns, 882.6014 ms/op
WorkloadActual  11: 1 op, 902253500.00 ns, 902.2535 ms/op
WorkloadActual  12: 1 op, 880320100.00 ns, 880.3201 ms/op
WorkloadActual  13: 1 op, 882839700.00 ns, 882.8397 ms/op
WorkloadActual  14: 1 op, 886200800.00 ns, 886.2008 ms/op
WorkloadActual  15: 1 op, 887024900.00 ns, 887.0249 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 884451700.00 ns, 884.4517 ms/op
WorkloadResult   2: 1 op, 884278800.00 ns, 884.2788 ms/op
WorkloadResult   3: 1 op, 882231100.00 ns, 882.2311 ms/op
WorkloadResult   4: 1 op, 880382900.00 ns, 880.3829 ms/op
WorkloadResult   5: 1 op, 879012300.00 ns, 879.0123 ms/op
WorkloadResult   6: 1 op, 890946200.00 ns, 890.9462 ms/op
WorkloadResult   7: 1 op, 879275500.00 ns, 879.2755 ms/op
WorkloadResult   8: 1 op, 889022400.00 ns, 889.0224 ms/op
WorkloadResult   9: 1 op, 882600900.00 ns, 882.6009 ms/op
WorkloadResult  10: 1 op, 880319600.00 ns, 880.3196 ms/op
WorkloadResult  11: 1 op, 882839200.00 ns, 882.8392 ms/op
WorkloadResult  12: 1 op, 886200300.00 ns, 886.2003 ms/op
WorkloadResult  13: 1 op, 887024400.00 ns, 887.0244 ms/op

// AfterAll
// Benchmark Process 19108 has exited with code 0

Mean = 883.737 ms, StdErr = 1.035 ms (0.12%), N = 13, StdDev = 3.732 ms
Min = 879.012 ms, Q1 = 880.383 ms, Median = 882.839 ms, Q3 = 886.200 ms, Max = 890.946 ms
IQR = 5.817 ms, LowerFence = 871.657 ms, UpperFence = 894.926 ms
ConfidenceInterval = [879.268 ms; 888.206 ms] (CI 99.9%), Margin = 4.469 ms (0.51% of Mean)
Skewness = 0.44, Kurtosis = 1.9, MValue = 2

// **************************
// Benchmark: QuickVsInsertBenchmark.InsertSortWithSameValues: Job-EJIXGU(InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ad3d6880-cd4e-4071-93ee-249f077d411f.dll" --benchmarkName "Oz.QuickVsInsertBenchmark.InsertSortWithSameValues" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 1 in D:\Development\OzWorks\Oz\bin\Debug\netcoreapp3.1\ad3d6880-cd4e-4071-93ee-249f077d411f\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.10 (CoreCLR 4.700.20.51601, CoreFX 4.700.20.51901), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-DXCQXE(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 315900.00 ns, 315.9000 us/op
WorkloadJitting  1: 1 op, 2257900.00 ns, 2.2579 ms/op

OverheadWarmup   1: 1 op, 700.00 ns, 700.0000 ns/op
OverheadWarmup   2: 1 op, 500.00 ns, 500.0000 ns/op
OverheadWarmup   3: 1 op, 500.00 ns, 500.0000 ns/op
OverheadWarmup   4: 1 op, 400.00 ns, 400.0000 ns/op
OverheadWarmup   5: 1 op, 500.00 ns, 500.0000 ns/op
OverheadWarmup   6: 1 op, 2700.00 ns, 2.7000 us/op
OverheadWarmup   7: 1 op, 700.00 ns, 700.0000 ns/op

OverheadActual   1: 1 op, 600.00 ns, 600.0000 ns/op
OverheadActual   2: 1 op, 700.00 ns, 700.0000 ns/op
OverheadActual   3: 1 op, 600.00 ns, 600.0000 ns/op
OverheadActual   4: 1 op, 2200.00 ns, 2.2000 us/op
OverheadActual   5: 1 op, 600.00 ns, 600.0000 ns/op
OverheadActual   6: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual   7: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual   8: 1 op, 1200.00 ns, 1.2000 us/op
OverheadActual   9: 1 op, 1500.00 ns, 1.5000 us/op
OverheadActual  10: 1 op, 700.00 ns, 700.0000 ns/op
OverheadActual  11: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual  12: 1 op, 700.00 ns, 700.0000 ns/op
OverheadActual  13: 1 op, 600.00 ns, 600.0000 ns/op
OverheadActual  14: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual  15: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual  16: 1 op, 500.00 ns, 500.0000 ns/op
OverheadActual  17: 1 op, 400.00 ns, 400.0000 ns/op
OverheadActual  18: 1 op, 1000.00 ns, 1.0000 us/op
OverheadActual  19: 1 op, 2200.00 ns, 2.2000 us/op
OverheadActual  20: 1 op, 700.00 ns, 700.0000 ns/op

WorkloadWarmup   1: 1 op, 175800.00 ns, 175.8000 us/op
WorkloadWarmup   2: 1 op, 169300.00 ns, 169.3000 us/op
WorkloadWarmup   3: 1 op, 168900.00 ns, 168.9000 us/op
